State,Issuer_Name,Issuer_ID,Metal_Level,Issuer_Claims_Received,Issuer_Claims_Denials,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received,Plan_Number_Claims_Denied,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excl_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Average Monthly Enrollment,Average Monthly Disenrollment
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,1276,209,0,65,**,0,0,237,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,40,*
FL,Bright Health Insurance Company of Florida,12379,Gold,14147996,800924,1445,64,4.43,0,0,**,4332,244,0,137,19,0,18,613,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,62,*
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,296354,9783,0,9467,1678,139,15,33660,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,6515,854
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,16239,1058,0,567,79,**,**,2417,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,219,33
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,24446,1127,0,1525,102,0,13,3191,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,345,49
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,1858,100,0,18,11,0,0,270,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,48,14
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,33589,2715,0,1239,154,12,0,5273,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,1417,354
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,125897,9388,0,3741,547,54,0,17313,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,4884,922
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,17215,1134,0,687,105,41,0,1961,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,777,203
FL,Bright Health Insurance Company of Florida,12379,Gold,14147996,800924,1445,64,4.43,0,0,**,2769,219,0,61,**,0,0,374,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,39,*
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,3240691,146241,0,52756,17351,1322,43,399039,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,61972,7197
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,20609,1289,0,315,110,0,0,2543,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,345,34
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,46280,2543,0,532,347,15,0,5918,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,782,93
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,860,78,0,20,0,0,0,159,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,81,25
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,57784,2715,0,899,320,20,0,6416,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,2316,644
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,284504,13848,0,4708,1522,232,0,30467,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,11957,2848
FL,Bright Health Insurance Company of Florida,12379,Gold,14147996,800924,1445,64,4.43,0,0,**,7370,728,0,84,60,19,0,1204,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,86,*
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,1943489,81366,0,43613,10616,891,56,224234,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,42654,4206
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,67850,3009,0,1521,290,**,0,7787,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,1164,124
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,76778,4616,0,1564,407,46,0,10139,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,1258,156
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,1154,102,0,75,0,0,0,102,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,79,15
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,49160,2614,0,1242,238,20,18,5800,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,1799,372
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,195707,8817,0,4435,974,101,21,21713,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,6751,1340
FL,Bright Health Insurance Company of Florida,12379,Gold,14147996,800924,1445,64,4.43,0,0,**,3653,429,0,34,28,0,0,685,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,58,12
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,3756357,230701,0,46240,16045,1480,18,467708,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,62503,13396
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,55242,4785,0,768,284,**,0,8124,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,847,181
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,62092,3949,0,736,365,34,**,7473,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,957,193
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,35066,2699,0,594,162,11,0,4228,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,833,241
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,211707,13576,0,2442,841,125,0,23544,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,5235,1263
FL,Bright Health Insurance Company of Florida,12379,Gold,14147996,800924,1445,64,4.43,0,0,**,2219,227,0,177,**,**,0,396,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,39,*
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,816023,67211,0,15465,4604,296,21,120870,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,14589,3182
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,21927,1647,0,436,122,16,0,3095,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,321,71
FL,Bright Health Insurance Company of Florida,12379,Silver,14147996,800924,1445,64,4.43,0,0,**,37365,2672,0,969,198,**,**,4814,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,572,148
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,19289,1733,0,293,175,0,0,2772,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,499,140
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,75514,5366,0,1259,311,61,0,9370,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,2005,474
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,35231,5004,0,2158,140,31,0,6881,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,1495,327
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,50090,6738,0,1321,176,14,0,9256,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,1850,384
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,36941,2453,0,1144,182,23,0,5379,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,1651,374
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,144429,9382,0,4719,862,98,15,20192,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,5431,1077
FL,Bright Health Insurance Company of Florida,12379,Bronze Expanded,14147996,800924,1445,64,4.43,0,0,**,60983,2224,0,2014,357,18,0,6344,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16501&:refresh,2682,553
FL,Cigna Health and Life Insurance Company,48121,Bronze,3040820,554799,484,161,33.26,18,**,**,55121,8517,106,2951,157,2142,693,5419,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,1695,273
FL,Cigna Health and Life Insurance Company,48121,Bronze Expanded,3040820,554799,484,161,33.26,18,**,**,37569,5960,73,1822,237,1157,433,4060,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,1242,174
FL,Cigna Health and Life Insurance Company,48121,Bronze Expanded,3040820,554799,484,161,33.26,18,**,**,54988,8466,41,3560,202,1748,382,6093,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,1731,276
FL,Cigna Health and Life Insurance Company,48121,Silver,3040820,554799,484,161,33.26,18,**,**,1341409,232857,2458,65639,5284,44437,11171,169507,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,27879,2966
FL,Cigna Health and Life Insurance Company,48121,Silver,3040820,554799,484,161,33.26,18,**,**,319815,57732,676,16441,1034,12099,3363,40560,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,6772,802
FL,Cigna Health and Life Insurance Company,48121,Silver,3040820,554799,484,161,33.26,18,**,**,287582,48071,762,13281,1043,11159,3509,31598,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,4513,456
FL,Cigna Health and Life Insurance Company,48121,Silver,3040820,554799,484,161,33.26,18,**,**,97101,16175,159,4933,291,3723,1166,10836,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,1752,186
FL,Cigna Health and Life Insurance Company,48121,Gold,3040820,554799,484,161,33.26,18,**,**,63599,9325,200,3666,240,2458,591,5836,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,1088,133
FL,Cigna Health and Life Insurance Company,48121,Bronze Expanded,3040820,554799,484,161,33.26,18,**,**,94426,15257,194,5415,428,3311,839,10485,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,2706,388
FL,Cigna Health and Life Insurance Company,48121,Silver,3040820,554799,484,161,33.26,18,**,**,9506,1244,12,418,16,199,266,751,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=67369&:refresh,158,24
FL,"Health First Commercial Plans, Inc.",36194,Bronze Expanded,968641,147827,215,103,47.91,14,**,**,13152,1485,165,171,49,0,0,1273,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,260,27
FL,"Health First Commercial Plans, Inc.",36194,Silver,968641,147827,215,103,47.91,14,**,**,38433,5073,564,557,87,**,0,4412,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,390,46
FL,"Health First Commercial Plans, Inc.",36194,Silver,968641,147827,215,103,47.91,14,**,**,22209,2746,358,398,37,13,0,2348,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,207,20
FL,"Health First Commercial Plans, Inc.",36194,Gold,968641,147827,215,103,47.91,14,**,**,58507,6603,735,968,212,**,0,5652,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,557,50
FL,"Health First Commercial Plans, Inc.",36194,Gold,968641,147827,215,103,47.91,14,**,**,54829,7556,706,1269,160,**,0,6671,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,750,86
FL,"Health First Commercial Plans, Inc.",36194,Gold,968641,147827,215,103,47.91,14,**,**,44097,4992,449,624,108,0,0,4444,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,569,55
FL,"Health First Commercial Plans, Inc.",36194,Gold,968641,147827,215,103,47.91,14,**,**,23305,2997,318,312,107,0,0,2562,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,161,15
FL,"Health First Commercial Plans, Inc.",36194,Catastrophic,968641,147827,215,103,47.91,14,**,**,12481,1498,233,480,**,0,0,1259,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,360,92
FL,"Health First Commercial Plans, Inc.",36194,Bronze Expanded,968641,147827,215,103,47.91,14,**,**,24994,2928,256,646,61,0,0,2605,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,560,64
FL,"Health First Commercial Plans, Inc.",36194,Bronze Expanded,968641,147827,215,103,47.91,14,**,**,8110,889,43,264,17,0,0,820,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,174,26
FL,"Health First Commercial Plans, Inc.",36194,Bronze Expanded,968641,147827,215,103,47.91,14,**,**,72774,7747,584,1449,174,**,0,6973,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,1558,199
FL,"Health First Commercial Plans, Inc.",36194,Gold,968641,147827,215,103,47.91,14,**,**,66902,8092,750,1278,168,24,0,7128,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,845,92
FL,"Health First Commercial Plans, Inc.",36194,Bronze,968641,147827,215,103,47.91,14,**,**,12064,1408,111,153,35,**,0,1268,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,243,31
FL,"Health First Commercial Plans, Inc.",36194,Bronze Expanded,968641,147827,215,103,47.91,14,**,**,16066,1790,163,203,56,33,0,1543,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,380,39
FL,"Health First Commercial Plans, Inc.",36194,Silver,968641,147827,215,103,47.91,14,**,**,21528,2937,206,302,26,**,0,2702,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,194,20
FL,"Health First Commercial Plans, Inc.",36194,Bronze Expanded,968641,147827,215,103,47.91,14,**,**,38350,5013,394,1472,100,**,0,3758,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,988,175
FL,"Health First Commercial Plans, Inc.",36194,Silver,968641,147827,215,103,47.91,14,**,**,271282,39824,3275,7379,595,41,0,32434,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,3756,346
FL,"Health First Commercial Plans, Inc.",36194,Gold,968641,147827,215,103,47.91,14,**,**,12436,1671,142,247,26,**,0,1341,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16272&:refresh,173,35
FL,"AvMed, Inc.",19898,Gold,1155539,311070,108,65,60.19,**,**,**,41794,8644,1425,633,2636,28,0,5020,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,480,96
FL,"AvMed, Inc.",19898,Silver,1155539,311070,108,65,60.19,**,**,**,10765,2690,467,130,652,**,0,1640,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,139,20
FL,"AvMed, Inc.",19898,Silver,1155539,311070,108,65,60.19,**,**,**,52654,12908,1826,994,3220,**,0,8262,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,682,124
FL,"AvMed, Inc.",19898,Silver,1155539,311070,108,65,60.19,**,**,**,44299,12188,1729,661,2620,**,0,8135,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,579,120
FL,"AvMed, Inc.",19898,Silver,1155539,311070,108,65,60.19,**,**,**,473682,132878,15646,9637,31175,23,0,88537,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,7326,1454
FL,"AvMed, Inc.",19898,Bronze Expanded,1155539,311070,108,65,60.19,**,**,**,48273,10996,1643,1219,3081,**,0,6633,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,1050,232
FL,"AvMed, Inc.",19898,Bronze Expanded,1155539,311070,108,65,60.19,**,**,**,60658,16548,2131,1294,4402,14,0,10499,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,1261,270
FL,"AvMed, Inc.",19898,Catastrophic,1155539,311070,108,65,60.19,**,**,**,2787,762,63,86,167,0,0,531,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,73,27
FL,"AvMed, Inc.",19898,Gold,1155539,311070,108,65,60.19,**,**,**,56320,13539,2308,954,3823,23,0,7799,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,739,141
FL,"AvMed, Inc.",19898,Silver,1155539,311070,108,65,60.19,**,**,**,24981,6462,1184,445,1796,**,0,3752,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,358,72
FL,"AvMed, Inc.",19898,Silver,1155539,311070,108,65,60.19,**,**,**,93660,25581,3451,1742,6409,**,0,16469,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,1427,349
FL,"AvMed, Inc.",19898,Silver,1155539,311070,108,65,60.19,**,**,**,245666,67874,7077,4653,15918,40,0,46186,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95263&:refresh,3767,789
FL,"Health Options, Inc.",30252,Silver,23017981,3063375,3022,1233,40.8,88,29,32.95,73607,14663,32,**,251,45,0,14328,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,926,128
FL,"Health Options, Inc.",30252,Bronze Expanded,23017981,3063375,3022,1233,40.8,88,29,32.95,146382,16391,109,36,123,55,0,16068,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,4568,802
FL,"Health Options, Inc.",30252,Silver,23017981,3063375,3022,1233,40.8,88,29,32.95,9464,2590,**,0,**,0,0,2580,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,145,19
FL,"Health Options, Inc.",30252,Platinum,23017981,3063375,3022,1233,40.8,88,29,32.95,7245,932,**,0,**,0,0,926,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,98,12
FL,"Health Options, Inc.",30252,Bronze Expanded,23017981,3063375,3022,1233,40.8,88,29,32.95,339663,43627,233,21,420,53,0,42900,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,8502,1252
FL,"Health Options, Inc.",30252,Platinum,23017981,3063375,3022,1233,40.8,88,29,32.95,71666,7410,42,**,62,13,0,7291,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,850,127
FL,"Health Options, Inc.",30252,Silver,23017981,3063375,3022,1233,40.8,88,29,32.95,1890934,241789,1510,37,3030,820,31,236361,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,30018,4497
FL,"Health Options, Inc.",30252,Gold,23017981,3063375,3022,1233,40.8,88,29,32.95,128211,12703,191,**,132,72,0,12298,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,2270,283
FL,"Health Options, Inc.",30252,Bronze Expanded,23017981,3063375,3022,1233,40.8,88,29,32.95,137454,12920,147,0,325,69,**,12378,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,3602,438
FL,"Health Options, Inc.",30252,Gold,23017981,3063375,3022,1233,40.8,88,29,32.95,48747,4931,63,0,91,0,0,4777,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,922,136
FL,"Health Options, Inc.",30252,Platinum,23017981,3063375,3022,1233,40.8,88,29,32.95,18710,1507,**,0,38,**,0,1458,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,162,41
FL,"Health Options, Inc.",30252,Bronze Expanded,23017981,3063375,3022,1233,40.8,88,29,32.95,13144,1252,**,0,**,0,0,1244,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,287,59
FL,"Health Options, Inc.",30252,Bronze Expanded,23017981,3063375,3022,1233,40.8,88,29,32.95,9574,858,**,0,23,**,0,824,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,226,29
FL,"Health Options, Inc.",30252,Gold,23017981,3063375,3022,1233,40.8,88,29,32.95,13082,1114,13,0,20,**,0,1078,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,174,30
FL,"Health Options, Inc.",30252,Silver,23017981,3063375,3022,1233,40.8,88,29,32.95,47582,4656,63,0,106,15,**,4471,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,624,103
FL,"Health Options, Inc.",30252,Bronze Expanded,23017981,3063375,3022,1233,40.8,88,29,32.95,15772,1285,0,**,22,21,0,1241,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95089&:refresh,309,53
